Subject,StartRIT,StartPercentile,EndRIT,EndPercentile,ConditionalGrowthPercentile,Growth Percentile
Mathematics,187,7,186,3,6,-4
Mathematics,217,70,227,69,52,-1
Mathematics,208,47,214,39,30,-8
Mathematics,219,74,224,62,25,-12
Mathematics,224,83,235,83,58,0
Mathematics,235,96,238,87,16,-9
Mathematics,187,7,188,3,11,-4
Mathematics,180,3,194,7,74,4
Mathematics,207,44,215,41,41,-3
Mathematics,206,42,213,37,35,-5
Mathematics,222,80,228,71,29,-9
Mathematics,227,88,241,91,74,3
Mathematics,218,72,228,71,52,-1
Mathematics,184,5,200,13,83,8
Mathematics,208,47,216,43,41,-4
Mathematics,177,2,170,1,1,-1
Mathematics,238,97,243,93,24,-4
Mathematics,222,80,235,83,69,3
Mathematics,213,60,226,67,69,7
Mathematics,214,63,222,58,41,-5
Mathematics,210,52,221,55,58,3
Mathematics,228,89,235,83,35,-6
Mathematics,219,74,228,71,46,-3
Mathematics,221,78,223,60,13,-18
Mathematics,206,42,204,19,5,-23
Mathematics,210,52,224,62,74,10
Mathematics,215,65,222,58,35,-7
Mathematics,199,25,225,65,99,40
Mathematics,200,27,196,9,2,-18
Mathematics,231,92,245,94,74,2
Mathematics,233,94,237,86,20,-8
Mathematics,219,74,230,75,58,1
Mathematics,207,44,214,39,35,-5
Mathematics,216,67,223,60,35,-7
Mathematics,207,44,218,48,58,4
Mathematics,238,97,248,96,51,-1
Mathematics,220,76,221,55,10,-21
Mathematics,197,21,199,12,13,-9
Mathematics,220,76,226,67,30,-9
Mathematics,215,65,235,83,94,18
Mathematics,221,78,223,60,13,-18
Mathematics,220,76,229,73,46,-3
Mathematics,235,96,240,90,24,-6
Mathematics,216,67,239,89,98,22
Mathematics,211,55,215,41,20,-14
Mathematics,183,4,188,3,25,-1
Mathematics,232,93,231,77,6,-16
Mathematics,214,63,212,34,4,-29
Mathematics,180,3,180,1,8,-2
Mathematics,228,89,237,86,46,-3
Mathematics,211,55,209,28,4,-27
Mathematics,207,44,217,46,52,2
Mathematics,222,80,221,55,6,-25
Mathematics,214,63,227,69,69,6
Mathematics,196,19,197,10,10,-9
Mathematics,213,60,221,55,41,-5
Mathematics,209,50,220,53,58,3
Mathematics,208,47,215,41,35,-6
Mathematics,224,84,230,75,29,-9
Mathematics,219,74,239,89,93,15
Mathematics,216,67,219,51,16,-16
Mathematics,220,76,216,43,2,-33
Mathematics,216,67,224,62,41,-5
Mathematics,238,97,243,93,24,-4
Mathematics,219,74,219,51,8,-23
Mathematics,214,63,228,71,74,8
Mathematics,207,44,216,43,46,-1
Mathematics,225,85,243,93,89,8
Mathematics,202,32,211,32,47,0
Mathematics,164,1,152,1,1,0
Mathematics,209,50,219,51,52,1
Mathematics,215,65,226,67,58,2
Mathematics,216,67,216,43,8,-24
Mathematics,212,57,215,41,16,-16
Mathematics,214,62,226,67,64,5
Mathematics,193,15,197,10,21,-5
Mathematics,216,67,230,75,74,8
Mathematics,214,63,242,92,99,29
Mathematics,202,32,219,51,86,19
Mathematics,227,88,240,90,69,2
Mathematics,219,74,229,73,52,-1
Mathematics,215,65,227,69,63,4
Mathematics,211,55,216,43,25,-12
Mathematics,222,80,240,90,89,10
Mathematics,233,94,251,97,89,3
Mathematics,227,88,238,87,58,-1
Mathematics,228,89,245,94,86,5
Mathematics,213,60,221,55,40,-5
Mathematics,225,85,223,60,5,-25
Mathematics,196,19,207,24,58,5
Mathematics,219,74,233,80,74,6
Mathematics,191,12,195,8,21,-4
Mathematics,213,60,214,39,10,-21
Mathematics,,,204,19,,
Mathematics,201,30,204,19,17,-11
Mathematics,226,87,243,93,86,6
Mathematics,232,93,250,97,89,4
Mathematics,197,21,222,58,99,37
Mathematics,220,76,240,90,94,14
Mathematics,236,96,241,91,26,-5
Mathematics,211,55,224,62,69,7
Mathematics,211,55,207,24,2,-31
Mathematics,195,18,189,4,1,-14
Mathematics,202,32,219,51,86,19
Mathematics,208,47,230,75,97,28
Mathematics,219,74,230,75,58,1
Mathematics,210,52,207,24,3,-28
Mathematics,219,74,234,82,78,8
Mathematics,222,80,235,83,69,3
Mathematics,214,62,217,46,17,-16
Mathematics,232,93,235,83,16,-10
Mathematics,202,32,199,12,3,-20
Mathematics,194,16,212,34,89,18
Mathematics,213,60,214,39,10,-21
Mathematics,180,3,180,1,8,-2
Mathematics,187,7,186,3,6,-4
Mathematics,201,30,204,19,17,-11
Mathematics,197,21,222,58,99,37
Mathematics,200,27,196,9,2,-18
Mathematics,187,7,188,3,11,-4
Mathematics,180,3,194,7,74,4
Mathematics,193,15,197,10,21,-5
Mathematics,196,19,197,10,10,-9
Mathematics,177,2,170,1,1,-1
Mathematics,220,76,216,43,2,-33
Mathematics,197,21,199,12,13,-9
Mathematics,191,12,195,8,21,-4
Mathematics,164,1,152,1,1,0
