Subject,StartRIT,StartPercentile,EndRIT,EndPercentile,ConditionalGrowthPercentile,Growth Percentile
Mathematics,209,36,216,35,43,-1
Mathematics,193,9,195,6,17,-3
Mathematics,215,51,226,57,68,6
Mathematics,211,41,221,46,62,5
Mathematics,187,4,184,1,4,-3
Mathematics,212,43,224,53,73,10
Mathematics,221,65,238,81,92,16
Mathematics,212,43,224,53,73,10
Mathematics,209,36,237,79,99,43
Mathematics,210,38,220,43,62,5
Mathematics,,,194,5,,
Mathematics,208,34,208,20,10,-14
Mathematics,201,20,193,4,1,-16
Mathematics,211,41,212,27,13,-14
Mathematics,191,7,197,7,38,0
Mathematics,197,14,213,29,90,15
Mathematics,222,67,233,72,67,5
Mathematics,214,48,216,35,17,-13
Mathematics,200,18,219,41,96,23
Mathematics,210,38,200,9,1,-29
Mathematics,208,34,227,59,96,25
Mathematics,229,81,228,62,7,-19
Mathematics,181,2,185,1,28,-1
Mathematics,183,2,188,2,32,0
Mathematics,207,32,221,46,83,14
Mathematics,210,38,215,33,32,-5
Mathematics,207,32,221,46,83,14
Mathematics,225,74,237,79,72,5
Mathematics,217,56,231,68,82,12
Mathematics,215,51,210,23,2,-28
Mathematics,189,6,190,3,14,-3
Mathematics,209,36,219,41,62,5
Mathematics,202,21,210,23,50,2
Mathematics,219,60,225,55,36,-5
Mathematics,201,20,203,13,17,-7
Mathematics,224,72,232,70,48,-2
Mathematics,222,67,243,88,98,21
Mathematics,214,48,226,57,73,9
Mathematics,202,21,211,25,56,4
Mathematics,217,56,233,72,89,16
Mathematics,215,51,219,41,26,-10
Mathematics,216,53,207,18,1,-35
Mathematics,214,48,234,74,97,26
Mathematics,209,36,222,48,78,12
Mathematics,206,29,209,21,21,-8
Mathematics,212,43,217,37,31,-6
Mathematics,199,16,210,23,69,7
Mathematics,219,60,232,70,78,10
Mathematics,216,53,224,53,49,0
Mathematics,,,220,43,,
Mathematics,212,43,231,68,96,25
Mathematics,202,21,209,21,44,0
Mathematics,217,56,239,82,99,26
Mathematics,211,41,219,41,49,0
Mathematics,199,16,193,4,1,-12
Mathematics,214,48,220,43,37,-5
Mathematics,210,38,223,50,78,12
Mathematics,213,46,214,31,13,-15
Mathematics,204,25,214,31,62,6
Mathematics,206,29,201,11,2,-18
Mathematics,203,23,200,10,4,-13
Mathematics,223,70,217,37,1,-33
Mathematics,232,86,236,77,25,-9
Mathematics,226,76,238,81,72,5
Mathematics,232,86,236,77,25,-9
Mathematics,222,67,230,66,49,-1
Mathematics,229,81,230,66,12,-15
Mathematics,232,86,239,82,42,-4
Mathematics,238,93,244,89,35,-4
Mathematics,227,78,232,70,30,-8
Mathematics,225,74,231,68,36,-6
Mathematics,225,74,232,70,43,-4
Mathematics,237,92,249,93,72,1
Mathematics,242,95,232,70,1,-25
Mathematics,238,93,251,95,77,2
Mathematics,223,70,235,76,73,6
Mathematics,233,87,238,81,30,-6
Mathematics,225,74,239,82,82,8
Mathematics,220,63,237,79,92,16
Mathematics,227,78,236,77,55,-1
Mathematics,207,32,231,68,99,36
Mathematics,195,18,209,28,76,10
Mathematics,201,30,215,41,76,11
Mathematics,184,5,194,7,54,2
Mathematics,174,1,188,3,78,2
Mathematics,181,3,183,2,13,-1
Mathematics,189,9,172,1,1,-8
Mathematics,185,6,205,20,95,14
Mathematics,198,23,196,9,4,-14
Mathematics,197,21,206,22,47,1
Mathematics,193,14,196,9,16,-5
Mathematics,198,23,198,11,7,-12
